Date,SMB %,HML %,WML %,Rm %,Rf %,Rm-Rf %
19940509,-0.22750214,-0.37132609,0.16831368,1.54659051,0.02785161,1.5187389
19940510,0.43818452,0.81730859,-0.90898997,0.58700518,0.02785161,0.55915357
19940511,0.58668366,-0.2766913,0.06709942,0.30392408,0.02785161,0.27607247
19940513,0.16542821,-0.5983448,0.02248647,0.23091358,0.02785161,0.20306197
19940516,0.40611997,0.19909239,0.10903027,1.36683155,0.02893245,1.3378991
19940517,0.62387153,0.80863516,-0.434205,-0.09439273,0.02893245,-0.12332518
19940518,0.48063358,-0.85491311,-0.01913486,-0.73945798,0.02893245,-0.76839043
19940519,-0.23438712,0.57503123,0.27122139,0.06133997,0.02893245,0.03240752
19940520,-0.02873356,0.00876201,-0.74788933,-0.86146969,0.02893245,-0.89040214
19940523,0.92356034,-0.72023779,-0.45019196,-1.20525362,0.0292301,-1.23448372
19940524,-0.15303215,0.07113916,0.09337151,-1.28304771,0.0292301,-1.31227781
19940526,-0.91956951,0.4982285,-0.32819259,0.61328575,0.0292301,0.58405565
19940527,0.16022638,0.00015705,0.39049758,0.93830049,0.0292301,0.90907039
19940530,-0.98222391,2.09368094,0.66282624,0.90748265,0.02986187,0.87762078
19940531,-0.07767335,0.87408339,-0.41705805,0.06059745,0.02986187,0.03073558
19940601,0.51505309,0.55896062,-0.23972214,-0.0466736,0.02986187,-0.07653547
19940602,-1.94418162,1.61713604,-0.73364264,1.39314382,0.02986187,1.36328195
19940603,-2.30066408,1.07909813,-0.52099526,2.03662774,0.02986187,2.00676587
19940606,-0.05933435,-0.55642659,0.50041076,1.60170161,0.02986187,1.57183974
19940607,-0.02175659,-0.26939096,0.43290811,-0.51798568,0.02986187,-0.54784755
19940608,-0.22515284,-0.59934654,-0.84526833,-0.11439496,0.02986187,-0.14425683
19940609,-0.9254566,-0.49256258,0.46129231,0.68681279,0.02986187,0.65695092
19940610,0.84154709,-0.3763592,0.17402445,1.3266982,0.02986187,1.29683633
19940613,-0.20745199,-0.24009304,-0.46586387,-0.09861217,0.03078916,-0.12940133
19940614,0.57777722,0.00136545,0.52340801,0.08696658,0.03078916,0.05617742
19940615,0.30987214,0.78355693,1.08228855,-0.12333912,0.03078916,-0.15412828
19940616,-0.27092928,0.5084497,-0.72559886,0.408363,0.03078916,0.37757384
19940617,-0.5542313,1.33931411,1.9498487,3.09979611,0.03078916,3.06900695
19940620,-0.86768616,1.01206952,-1.11614446,1.50402714,0.03248978,1.47153736
19940622,-0.43925857,1.60017941,0.60999967,0.3772901,0.03248978,0.34480032
19940623,0.17740677,1.14912784,0.55426137,-0.57274308,0.03248978,-0.60523286
19940624,-0.24974226,0.99912945,-0.30984357,-0.88227096,0.03248978,-0.91476074
19940627,0.4949151,-0.17402245,-2.97324278,-0.74265795,0.03355822,-0.77621617
19940628,-0.95894863,0.64877968,-1.31422021,0.26068403,0.03355822,0.22712581
19940629,0.91176018,0.95164668,-1.04744118,-0.68208366,0.03355822,-0.71564188
19940630,0.07288825,1.66269091,1.09756999,-1.09813917,0.03355822,-1.13169739
19940701,-0.69851593,0.96399228,0.50615197,0.98680809,0.03355822,0.95324987
19940704,-0.10229541,0.65877506,-2.83868204,0.08887013,0.03477059,0.05409954
19940705,-0.13879798,0.65305831,-0.32481846,-0.15620393,0.03477059,-0.19097452
19940706,0.46139758,-0.23289625,-1.01809057,-0.05970633,0.03477059,-0.09447692
19940707,1.27973316,-0.61248332,0.57939355,-0.45989291,0.03477059,-0.4946635
19940708,0.91801099,0.43020102,-1.26178399,1.0375311,0.03477059,1.00276051
19940711,0.53593368,0.11403459,-0.49569229,0.26227906,0.03477059,0.22750847
19940712,-0.26862517,0.78117148,-0.37953548,0.49443727,0.03477059,0.45966668
19940713,1.37504339,-0.35801296,-0.02856178,0.38865428,0.03477059,0.35388369
19940714,0.55353081,0.11451208,-0.48042311,-0.41930799,0.03477059,-0.45407858
19940715,-0.65946108,-0.41330534,0.38847529,-0.02018527,0.03477059,-0.05495586
19940718,0.00029103,0.11118895,-1.07554138,-0.17620051,0.0341465,-0.21034701
19940719,-0.07690636,-0.45956584,0.47218659,-0.17725194,0.0341465,-0.21139844
19940720,-0.22388052,0.39817859,-0.5092082,-0.3832028,0.0341465,-0.4173493
19940721,0.80756619,-1.40467137,-0.47153009,-0.15981648,0.0341465,-0.19396298
19940722,1.33551485,0.38057605,-0.35881771,0.70421928,0.0341465,0.67007278
19940725,0.69640407,-0.71336765,2.05587328,0.17796205,0.03293224,0.14502981
19940726,0.30387329,0.26317178,-1.81523365,0.09139042,0.03293224,0.05845818
19940727,0.68484075,-1.26342782,0.56776109,-0.35337931,0.03293224,-0.38631155
19940728,0.53719431,0.26118725,-0.0199545,0.23166037,0.03293224,0.19872813
19940729,0.33372127,0.56704765,-1.62335632,2.1031784,0.03293224,2.07024616
19940801,-1.04887766,0.93396135,0.7498993,2.26965306,0.03355822,2.23609484
19940802,0.12444074,-0.68877201,0.04495505,0.20741978,0.03355822,0.17386156
