Date,SMB,HML,WML,Ret,Ret_rf,Ret_ex
20190805,-0.42021999,-0.53548686,1.36427505,-1.14849613,0.02198704,-1.17048317
20190806,0.49215142,0.53833859,-1.06158041,0.89381849,0.02198704,0.87183145
20190807,1.20337694,-0.9815962,1.34558688,-0.5502225,0.02198704,-0.57220954
20190808,-1.07602902,0.06396047,0.08303367,1.39761593,0.02122894,1.37638699
20190809,0.7631478,-0.4350757,-0.92129832,0.68153391,0.02122894,0.66030497
20190813,0.44434857,-1.10134975,0.88299647,-1.56173649,0.02122894,-1.58296543
20190814,-0.84510707,0.29112326,-0.14482725,0.8204837,0.02122894,0.79925476
20190816,-0.75684287,0.89709555,0.32360565,0.13460068,0.02138068,0.11322
20190819,0.50985729,-0.31898928,0.16035443,0.08901328,0.02138068,0.0676326
20190820,0.50452014,-1.29506894,1.5736142,-0.47199109,0.02138068,-0.49337177
20190821,-0.09886224,-1.50071545,2.37237157,-1.05902405,0.02138068,-1.08040473
20190822,-0.62145356,-1.17235988,2.74802716,-1.55178279,0.02122894,-1.57301173
20190823,-0.89715842,0.35841492,-0.47104039,0.92613552,0.02122894,0.90490658
20190826,-0.10711329,0.59509859,-1.52150902,1.74893743,0.02122894,1.72770849
20190827,0.81438658,1.00409779,-1.76218329,0.80239901,0.02122894,0.78117007
20190828,0.63769108,-1.26337985,2.18168251,-0.66258074,0.02122894,-0.68380968
20190829,-0.01432296,-0.47985493,0.66483436,-0.49556429,0.02107715,-0.51664144
20190830,-0.01235307,1.16408121,-0.37468039,0.81806919,0.02107715,0.79699204
20190903,1.75395773,-1.68019262,-0.08256262,-1.81593366,0.02107715,-1.83701081
20190904,-0.51744045,0.65793442,1.01478879,0.21803372,0.02107715,0.19695657
20190905,0.39353461,0.07726341,-1.64978864,0.33060701,0.0209253,0.30968171
20190906,-0.29095903,0.83730516,-0.40467353,0.77215596,0.0209253,0.75123066
20190909,0.30397335,0.00507034,-1.13993424,0.61873108,0.0209253,0.59780578
20190911,1.54335115,1.7040449,-3.68965473,0.51539095,0.0209253,0.49446565
20190912,0.77748264,-0.0660134,-0.40598821,-0.38786458,0.02073541,-0.40859999
20190913,-0.05597947,-0.31245229,0.01406609,0.79487871,0.02073541,0.7741433
20190916,1.22444007,-0.61189363,-1.78685269,-0.25231758,0.02073541,-0.27305299
20190917,0.71871341,-1.04057853,1.53347887,-1.67059526,0.02073541,-1.69133067
20190918,0.06351816,-0.18556638,1.07926394,0.35469436,0.02073541,0.33395895
20190919,0.26539373,-1.03325234,1.15683654,-1.24924232,0.02058343,-1.26982575
